bgm-haofang-03-一蓑烟雨任平生	Open-hearted guzheng, resilient, mid tempo, rain atmosphere, 80-90 BPM, short intro, steady structure, no vocals
bgm-haofang-04-把酒问青天	Bold Chinese, brass and drums, heroic celebration, 90-100 BPM, short intro, steady structure, no vocals
bgm-wanxiang-03-执手相看泪眼	Emotional Chinese strings, farewell tenderness, tearful restraint, 60-68 BPM, short intro, steady structure, no vocals
bgm-wanxiang-04-一种相思	Gentle guzheng ballad instrumental, soft longing, warm, 66-74 BPM, short intro, steady structure, no vocals
bgm-chungui-03-薄雾浓云	Hazy Chinese ambient, gentle oppressive sadness, slow, 58-66 BPM, short intro, steady structure, no vocals
bgm-chungui-04-知否知否	Light plucked strings, wistful spring mood, 70-78 BPM, short intro, steady structure, no vocals
bgm-chan-03-云在青天	Zen ambient, sparse guzheng, water-like spaciousness, 55-65 BPM, short intro, steady structure, no vocals
bgm-chan-04-本来无一物	Pure drone with soft temple bell, very sparse, breath-like silence, 45-55 BPM, short intro, steady structure, no vocals
bgm-songbie-01-长亭古道	Chinese folk, xiao flute, farewell on an old road, 66-74 BPM, short intro, steady structure, no vocals
bgm-songbie-02-孤帆远影	Flowing strings, open sky, parting across water, 70-78 BPM, short intro, steady structure, no vocals
bgm-songbie-03-暗香疏影	Delicate plucked strings with wind, cold plum blossom, 60-70 BPM, short intro, steady structure, no vocals
bgm-songbie-04-人生得意	Festive Chinese drums and plucked strings, joyful triumph, 96-104 BPM, short intro, steady structure, no vocals
